date,precipitation_mm,temperature_c,snow_depth_cm,place
2015-03-16,0.1,-17.4,28.3,Rovaniemi
2015-03-17,0.5,-10.7,28.7,Rovaniemi
2015-03-18,0.9,-12.8,29.3,Rovaniemi
2015-03-19,0.3,-12.9,29.5,Rovaniemi
2015-03-20,0.0,-11.4,29.5,Rovaniemi
2015-03-21,0.5,-12.3,29.9,Rovaniemi
2015-03-22,3.1,-11.4,32.1,Rovaniemi
2015-03-23,0.0,-7.9,32.1,Rovaniemi
2015-03-24,0.0,-8.1,32.1,Rovaniemi
2015-03-25,0.0,-8.5,32.1,Rovaniemi
2015-03-26,0.0,-9.3,32.1,Rovaniemi
2015-03-27,0.5,-10.3,32.4,Rovaniemi
2015-03-28,0.0,-6.4,32.4,Rovaniemi
2015-03-29,0.0,-10.9,32.4,Rovaniemi
2015-03-30,0.0,-3.8,32.4,Rovaniemi
2015-03-31,0.0,-6.1,32.4,Rovaniemi
2015-04-01,0.0,-4.5,32.4,Rovaniemi
2015-04-02,1.0,-5.8,33.1,Rovaniemi
2015-04-03,0.0,-6.9,33.1,Rovaniemi
2015-04-04,1.8,-3.8,34.4,Rovaniemi
2015-04-05,1.3,-9.3,35.3,Rovaniemi
2015-04-06,0.2,-6.9,35.4,Rovaniemi
2015-04-07,0.0,-5.5,35.4,Rovaniemi
2015-04-08,0.0,-8.0,35.4,Rovaniemi
2015-04-09,0.0,-2.6,35.4,Rovaniemi
2015-04-10,0.3,-0.6,35.7,Rovaniemi
2015-04-11,0.0,-7.7,35.7,Rovaniemi
2015-04-12,0.0,-4.0,35.7,Rovaniemi
2015-04-13,0.0,-3.0,35.7,Rovaniemi
2015-04-14,0.0,-1.4,35.7,Rovaniemi
2015-04-15,0.0,0.3,35.7,Rovaniemi
2015-04-16,0.0,-2.2,35.7,Rovaniemi
2015-04-17,0.0,1.2,35.7,Rovaniemi
2015-04-18,1.3,-0.5,36.6,Rovaniemi
2015-04-19,0.0,-1.9,36.6,Rovaniemi
2015-04-20,0.7,0.6,36.6,Rovaniemi
2015-04-21,0.9,-2.8,37.2,Rovaniemi
2015-04-22,0.3,0.1,37.2,Rovaniemi
2015-04-23,0.2,0.6,37.2,Rovaniemi
2015-04-24,0.8,-0.1,37.7,Rovaniemi
2015-04-25,0.0,8.1,7.2,Rovaniemi
2015-04-26,0.2,5.4,0.0,Rovaniemi
2015-04-27,0.0,2.9,0.0,Rovaniemi
2015-04-28,0.8,3.8,0.0,Rovaniemi
2015-04-29,0.0,4.4,0.0,Rovaniemi
2015-04-30,3.3,5.0,0.0,Rovaniemi
2015-05-01,0.0,7.7,0.0,Rovaniemi
2015-05-02,0.5,6.4,0.0,Rovaniemi
2015-05-03,0.0,-0.6,0.0,Rovaniemi
2015-05-04,2.6,6.8,0.0,Rovaniemi
2015-05-05,0.7,2.9,0.0,Rovaniemi
2015-05-06,0.0,3.9,0.0,Rovaniemi
2015-05-07,0.0,8.0,0.0,Rovaniemi
2015-05-08,0.1,1.2,0.0,Rovaniemi
2015-05-09,0.0,10.4,0.0,Rovaniemi
2015-05-10,1.0,8.4,0.0,Rovaniemi
2015-05-11,1.5,7.5,0.0,Rovaniemi
2015-05-12,0.0,9.0,0.0,Rovaniemi
2015-05-13,0.0,10.0,0.0,Rovaniemi
2015-05-14,0.5,8.0,0.0,Rovaniemi
2015-05-15,0.3,9.6,0.0,Rovaniemi
2015-05-16,0.0,5.4,0.0,Rovaniemi
2015-05-17,0.0,10.2,0.0,Rovaniemi
2015-05-18,3.1,9.9,0.0,Rovaniemi
2015-05-19,0.2,12.2,0.0,Rovaniemi
2015-05-20,0.0,9.2,0.0,Rovaniemi
2015-05-21,0.0,9.8,0.0,Rovaniemi
2015-05-22,0.2,6.9,0.0,Rovaniemi
2015-05-23,0.6,9.4,0.0,Rovaniemi
2015-05-24,0.0,11.1,0.0,Rovaniemi
2015-05-25,0.0,11.5,0.0,Rovaniemi
2015-05-26,0.1,14.2,0.0,Rovaniemi
2015-05-27,0.0,11.2,0.0,Rovaniemi
2015-05-28,0.2,10.0,0.0,Rovaniemi
2015-05-29,1.3,11.8,0.0,Rovaniemi
2015-05-30,0.1,9.2,0.0,Rovaniemi
2015-05-31,0.0,14.0,0.0,Rovaniemi
2015-06-01,0.6,9.1,0.0,Rovaniemi
2015-06-02,1.7,9.9,0.0,Rovaniemi
2015-06-03,0.0,8.4,0.0,Rovaniemi
2015-06-04,0.0,11.4,0.0,Rovaniemi
2015-06-05,0.0,12.9,0.0,Rovaniemi
2015-06-06,0.0,15.5,0.0,Rovaniemi
2015-06-07,1.4,11.3,0.0,Rovaniemi
2015-06-08,3.6,11.0,0.0,Rovaniemi
2015-06-09,1.5,5.0,0.0,Rovaniemi
2015-06-10,1.1,12.3,0.0,Rovaniemi
2015-06-11,2.1,11.8,0.0,Rovaniemi
2015-06-12,0.0,11.9,0.0,Rovaniemi
2015-06-13,0.0,15.6,0.0,Rovaniemi
2015-06-14,0.0,13.3,0.0,Rovaniemi
2015-06-15,0.0,10.9,0.0,Rovaniemi
2015-06-16,4.1,9.7,0.0,Rovaniemi
2015-06-17,2.8,9.1,0.0,Rovaniemi
2015-06-18,0.0,10.9,0.0,Rovaniemi
2015-06-19,7.2,12.9,0.0,Rovaniemi
2015-06-20,1.3,6.7,0.0,Rovaniemi
2015-06-21,0.0,11.6,0.0,Rovaniemi
2015-06-22,0.0,14.0,0.0,Rovaniemi
2015-06-23,0.8,9.4,0.0,Rovaniemi
2015-06-24,0.7,11.5,0.0,Rovaniemi
2015-06-25,2.3,9.4,0.0,Rovaniemi
2015-06-26,0.0,5.1,0.0,Rovaniemi
2015-06-27,0.1,9.8,0.0,Rovaniemi
2015-06-28,0.0,9.0,0.0,Rovaniemi
2015-06-29,0.5,13.6,0.0,Rovaniemi
2015-06-30,0.9,12.8,0.0,Rovaniemi
2015-07-01,0.7,8.9,0.0,Rovaniemi
2015-07-02,1.7,14.6,0.0,Rovaniemi
2015-07-03,0.3,13.1,0.0,Rovaniemi
2015-07-04,2.4,10.5,0.0,Rovaniemi
2015-07-05,4.8,11.9,0.0,Rovaniemi
2015-07-06,3.4,8.6,0.0,Rovaniemi
2015-07-07,4.5,4.7,0.0,Rovaniemi
2015-07-08,0.0,10.9,0.0,Rovaniemi
2015-07-09,0.9,7.1,0.0,Rovaniemi
2015-07-10,3.0,9.8,0.0,Rovaniemi
2015-07-11,0.0,11.3,0.0,Rovaniemi
2015-07-12,0.6,5.2,0.0,Rovaniemi
2015-07-13,0.0,10.4,0.0,Rovaniemi
2015-07-14,0.0,11.8,0.0,Rovaniemi
2015-07-15,0.2,4.4,0.0,Rovaniemi
2015-07-16,2.4,11.1,0.0,Rovaniemi
2015-07-17,0.7,13.9,0.0,Rovaniemi
2015-07-18,0.7,8.4,0.0,Rovaniemi
2015-07-19,4.2,10.6,0.0,Rovaniemi
2015-07-20,0.0,6.1,0.0,Rovaniemi
2015-07-21,2.9,10.7,0.0,Rovaniemi
2015-07-22,1.0,9.4,0.0,Rovaniemi
2015-07-23,0.0,8.4,0.0,Rovaniemi
2015-07-24,0.0,8.1,0.0,Rovaniemi
2015-07-25,0.0,8.4,0.0,Rovaniemi
2015-07-26,1.1,7.0,0.0,Rovaniemi
2015-07-27,0.0,4.5,0.0,Rovaniemi
2015-07-28,0.0,6.3,0.0,Rovaniemi
2015-07-29,2.5,6.3,0.0,Rovaniemi
2015-07-30,0.5,3.2,0.0,Rovaniemi
2015-07-31,0.0,5.6,0.0,Rovaniemi
2015-08-01,0.0,5.4,0.0,Rovaniemi
2015-08-02,0.0,4.0,0.0,Rovaniemi
2015-08-03,0.0,5.9,0.0,Rovaniemi
2015-08-04,0.0,6.1,0.0,Rovaniemi
2015-08-05,0.0,2.7,0.0,Rovaniemi
2015-08-06,0.8,4.4,0.0,Rovaniemi
2015-08-07,1.9,6.0,0.0,Rovaniemi
2015-08-08,0.1,0.9,0.0,Rovaniemi
2015-08-09,6.4,-1.1,4.5,Rovaniemi
2015-08-10,1.3,0.4,4.5,Rovaniemi
2015-08-11,0.8,3.8,0.0,Rovaniemi
2015-08-12,0.0,1.0,0.0,Rovaniemi
2015-08-13,0.0,-1.3,0.0,Rovaniemi
2015-08-14,12.3,4.6,0.0,Rovaniemi
2015-08-15,2.5,-1.9,1.7,Rovaniemi
2015-08-16,2.2,0.3,1.7,Rovaniemi
2015-08-17,0.3,2.2,0.7,Rovaniemi
2015-08-18,2.0,1.7,0.7,Rovaniemi
2015-08-19,0.0,0.7,0.7,Rovaniemi
2015-08-20,3.2,-2.4,3.0,Rovaniemi
2015-08-21,0.3,0.3,3.0,Rovaniemi
2015-08-22,0.9,-1.4,3.6,Rovaniemi
2015-08-23,1.4,-0.8,4.6,Rovaniemi
2015-08-24,3.4,1.2,4.6,Rovaniemi
2015-08-25,0.0,-5.6,4.6,Rovaniemi
2015-08-26,2.9,-2.0,6.6,Rovaniemi
2015-08-27,0.0,-3.0,6.6,Rovaniemi
2015-08-28,0.0,-1.4,6.6,Rovaniemi
2015-08-29,1.0,0.3,6.6,Rovaniemi
2015-08-30,0.0,-0.2,6.6,Rovaniemi
2015-08-31,3.7,-2.9,9.2,Rovaniemi
2015-09-01,0.0,-6.9,9.2,Rovaniemi
2015-09-02,0.0,-6.8,9.2,Rovaniemi
2015-09-03,0.0,-4.4,9.2,Rovaniemi
2015-09-04,7.2,-9.8,14.3,Rovaniemi
2015-09-05,0.0,-7.6,14.3,Rovaniemi
2015-09-06,0.9,-9.3,14.9,Rovaniemi
2015-09-07,1.1,-10.8,15.7,Rovaniemi
2015-09-08,0.0,-7.6,15.7,Rovaniemi
2015-09-09,0.0,-6.7,15.7,Rovaniemi
2015-09-10,0.0,-7.6,15.7,Rovaniemi
2015-09-11,0.0,-9.2,15.7,Rovaniemi
2015-09-12,0.0,-10.8,15.7,Rovaniemi
2015-09-13,2.0,-11.6,17.1,Rovaniemi
2015-09-14,0.7,-8.6,17.6,Rovaniemi
2015-09-15,0.4,-12.4,17.9,Rovaniemi
2015-09-16,1.7,-12.9,19.1,Rovaniemi
2015-09-17,0.7,-11.0,19.5,Rovaniemi
2015-09-18,0.0,-14.9,19.5,Rovaniemi
2015-09-19,0.4,-12.6,19.9,Rovaniemi
2015-09-20,0.0,-14.6,19.9,Rovaniemi
2015-09-21,3.9,-15.4,22.6,Rovaniemi
2015-09-22,4.2,-14.7,25.6,Rovaniemi
2015-09-23,0.0,-12.6,25.6,Rovaniemi
2015-09-24,6.2,-14.5,29.9,Rovaniemi
2015-09-25,0.0,-14.6,29.9,Rovaniemi
2015-09-26,2.3,-13.9,31.5,Rovaniemi
2015-09-27,2.5,-14.6,33.3,Rovaniemi
2015-09-28,0.0,-17.0,33.3,Rovaniemi
2015-09-29,0.0,-15.6,33.3,Rovaniemi
2015-09-30,6.0,-17.8,37.5,Rovaniemi
2015-10-01,0.0,-16.7,37.5,Rovaniemi
2015-10-02,0.1,-15.6,37.6,Rovaniemi
2015-10-03,0.0,-17.3,37.6,Rovaniemi
2015-10-04,0.0,-22.1,37.6,Rovaniemi
2015-10-05,0.0,-20.7,37.6,Rovaniemi
2015-10-06,2.5,-18.2,39.3,Rovaniemi
2015-10-07,0.0,-25.6,39.3,Rovaniemi
2015-10-08,0.0,-19.8,39.3,Rovaniemi
2015-10-09,0.0,-20.3,39.3,Rovaniemi
2015-10-10,5.3,-14.6,43.0,Rovaniemi
2015-10-11,1.3,-20.7,43.9,Rovaniemi
2015-10-12,0.0,-22.4,43.9,Rovaniemi
2015-10-13,0.0,-19.6,43.9,Rovaniemi
2015-10-14,0.0,-23.8,43.9,Rovaniemi
2015-10-15,0.8,-23.2,44.5,Rovaniemi
2015-10-16,0.0,-23.4,44.5,Rovaniemi
2015-10-17,0.6,-22.5,44.9,Rovaniemi
2015-10-18,0.3,-26.7,45.1,Rovaniemi
2015-10-19,2.4,-22.6,46.8,Rovaniemi
2015-10-20,1.5,-26.4,47.8,Rovaniemi
2015-10-21,0.0,-20.3,47.8,Rovaniemi
2015-10-22,3.8,-29.5,50.5,Rovaniemi
2015-10-23,0.6,-28.0,50.9,Rovaniemi
2015-10-24,0.0,-31.5,50.9,Rovaniemi
2015-10-25,0.0,-19.4,50.9,Rovaniemi
2015-10-26,4.7,-30.2,54.2,Rovaniemi
2015-10-27,0.9,-25.5,54.9,Rovaniemi
2015-10-28,0.4,-25.9,55.2,Rovaniemi
2015-10-29,1.5,-30.3,56.2,Rovaniemi
2015-10-30,1.2,-26.4,57.1,Rovaniemi
2015-10-31,0.0,-31.3,57.1,Rovaniemi
2015-11-01,3.9,-31.0,59.8,Rovaniemi
2015-11-02,0.0,-33.2,59.8,Rovaniemi
2015-11-03,0.0,-27.9,59.8,Rovaniemi
2015-11-04,0.9,-34.7,60.4,Rovaniemi
2015-11-05,0.8,-29.1,61.0,Rovaniemi
2015-11-06,0.8,-30.7,61.5,Rovaniemi
2015-11-07,0.0,-26.3,61.5,Rovaniemi
2015-11-08,1.3,-30.8,62.4,Rovaniemi
2015-11-09,0.0,-29.0,62.4,Rovaniemi
2015-11-10,0.3,-30.1,62.6,Rovaniemi
2015-11-11,0.0,-31.9,62.6,Rovaniemi
2015-11-12,3.3,-29.1,65.0,Rovaniemi
2015-11-13,0.0,-31.2,65.0,Rovaniemi
2015-11-14,0.0,-30.1,65.0,Rovaniemi
2015-11-15,2.5,-34.9,66.7,Rovaniemi
2015-11-16,0.8,-31.5,67.3,Rovaniemi
2015-11-17,3.5,-31.0,69.7,Rovaniemi
2015-11-18,0.0,-35.9,69.7,Rovaniemi
2015-11-19,1.5,-33.6,70.0,Rovaniemi
2015-11-20,0.0,-37.9,70.0,Rovaniemi
2015-11-21,1.8,-37.7,70.0,Rovaniemi
2015-11-22,0.0,-34.1,70.0,Rovaniemi
2015-11-23,0.0,-29.6,70.0,Rovaniemi
2015-11-24,1.3,-29.6,70.0,Rovaniemi
2015-11-25,0.0,-35.2,70.0,Rovaniemi
2015-11-26,5.8,-36.9,70.0,Rovaniemi
2015-11-27,0.0,-32.4,70.0,Rovaniemi
2015-11-28,1.6,-39.8,70.0,Rovaniemi
2015-11-29,0.0,-36.0,70.0,Rovaniemi
2015-11-30,1.5,-36.9,70.0,Rovaniemi
2015-12-01,0.0,-35.4,70.0,Rovaniemi
2015-12-02,0.0,-31.8,70.0,Rovaniemi
2015-12-03,0.0,-41.9,70.0,Rovaniemi
2015-12-04,1.7,-34.7,70.0,Rovaniemi
2015-12-05,0.0,-34.7,70.0,Rovaniemi
2015-12-06,0.0,-35.8,70.0,Rovaniemi
2015-12-07,0.0,-35.0,70.0,Rovaniemi
2015-12-08,0.0,-34.5,70.0,Rovaniemi
2015-12-09,0.0,-35.4,70.0,Rovaniemi
2015-12-10,0.0,-41.0,70.0,Rovaniemi
2015-12-11,0.0,-38.1,70.0,Rovaniemi
2015-12-12,0.1,-31.9,70.0,Rovaniemi
2015-12-13,0.0,-38.9,70.0,Rovaniemi
2015-12-14,0.0,-35.8,70.0,Rovaniemi
2015-12-15,0.0,-37.8,70.0,Rovaniemi
2015-12-16,0.5,-34.5,70.0,Rovaniemi
2015-12-17,0.0,-36.5,70.0,Rovaniemi
2015-12-18,0.4,-34.3,70.0,Rovaniemi
2015-12-19,1.3,-35.0,70.0,Rovaniemi
2015-12-20,0.7,-36.9,70.0,Rovaniemi
2015-12-21,0.0,-41.5,70.0,Rovaniemi
2015-12-22,1.1,-38.0,70.0,Rovaniemi
2015-12-23,0.8,-38.8,70.0,Rovaniemi
2015-12-24,0.0,-38.8,70.0,Rovaniemi
2015-12-25,0.0,-34.4,70.0,Rovaniemi
2015-12-26,0.6,-30.6,70.0,Rovaniemi
2015-12-27,0.0,-41.7,70.0,Rovaniemi
2015-12-28,0.0,-39.2,70.0,Rovaniemi
2015-12-29,0.0,-34.8,70.0,Rovaniemi
2015-12-30,0.0,-35.9,70.0,Rovaniemi
2015-12-31,0.0,-34.0,70.0,Rovaniemi
2016-01-01,3.9,-35.7,70.0,Rovaniemi
2016-01-02,0.3,-32.2,70.0,Rovaniemi
2016-01-03,3.4,-34.0,70.0,Rovaniemi
2016-01-04,0.0,-33.1,70.0,Rovaniemi
2016-01-05,0.9,-32.6,70.0,Rovaniemi
2016-01-06,4.6,-38.1,70.0,Rovaniemi
2016-01-07,0.0,-33.5,70.0,Rovaniemi
2016-01-08,0.4,-33.2,70.0,Rovaniemi
2016-01-09,0.5,-35.5,70.0,Rovaniemi
2016-01-10,1.5,-35.4,70.0,Rovaniemi
2016-01-11,0.0,-35.2,70.0,Rovaniemi
2016-01-12,0.0,-36.5,70.0,Rovaniemi
2016-01-13,0.0,-37.5,70.0,Rovaniemi
2016-01-14,0.0,-28.6,70.0,Rovaniemi
2016-01-15,0.0,-31.1,70.0,Rovaniemi
2016-01-16,0.0,-33.5,70.0,Rovaniemi
2016-01-17,1.8,-37.1,70.0,Rovaniemi
2016-01-18,2.9,-31.8,70.0,Rovaniemi
2016-01-19,0.0,-33.9,70.0,Rovaniemi
2016-01-20,0.4,-33.2,70.0,Rovaniemi
2016-01-21,0.6,-27.0,70.0,Rovaniemi
2016-01-22,0.2,-27.6,70.0,Rovaniemi
2016-01-23,0.0,-38.0,70.0,Rovaniemi
2016-01-24,0.0,-31.0,70.0,Rovaniemi
2016-01-25,0.1,-31.2,70.0,Rovaniemi
2016-01-26,0.0,-30.5,70.0,Rovaniemi
2016-01-27,0.8,-32.6,70.0,Rovaniemi
2016-01-28,0.0,-30.9,70.0,Rovaniemi
2016-01-29,2.5,-33.4,70.0,Rovaniemi
2016-01-30,0.0,-27.8,70.0,Rovaniemi
2016-01-31,1.7,-27.6,70.0,Rovaniemi
2016-02-01,0.0,-25.7,70.0,Rovaniemi
2016-02-02,0.3,-31.5,70.0,Rovaniemi
2016-02-03,0.0,-28.6,70.0,Rovaniemi
2016-02-04,0.1,-23.9,70.0,Rovaniemi
2016-02-05,0.0,-30.4,70.0,Rovaniemi
2016-02-06,0.0,-30.9,70.0,Rovaniemi
2016-02-07,2.0,-27.3,70.0,Rovaniemi
2016-02-08,0.3,-24.8,70.0,Rovaniemi
2016-02-09,0.6,-29.1,70.0,Rovaniemi
2016-02-10,0.6,-22.3,70.0,Rovaniemi
2016-02-11,0.0,-29.1,70.0,Rovaniemi
2016-02-12,0.0,-24.8,70.0,Rovaniemi
2016-02-13,0.0,-27.8,70.0,Rovaniemi
2016-02-14,0.0,-26.9,70.0,Rovaniemi
2016-02-15,0.0,-23.4,70.0,Rovaniemi
2016-02-16,0.3,-25.6,70.0,Rovaniemi
2016-02-17,0.0,-28.5,70.0,Rovaniemi
2016-02-18,0.1,-26.4,70.0,Rovaniemi
2016-02-19,0.0,-22.2,70.0,Rovaniemi
2016-02-20,0.0,-22.6,70.0,Rovaniemi
2016-02-21,0.6,-21.5,70.0,Rovaniemi
2016-02-22,2.0,-24.4,70.0,Rovaniemi
2016-02-23,0.6,-25.2,70.0,Rovaniemi
2016-02-24,0.0,-24.2,70.0,Rovaniemi
2016-02-25,0.0,-23.6,70.0,Rovaniemi
2016-02-26,0.0,-21.5,70.0,Rovaniemi
2016-02-27,0.0,-24.0,70.0,Rovaniemi
2016-02-28,0.0,-17.9,70.0,Rovaniemi
2016-02-29,0.4,-18.9,70.0,Rovaniemi
2016-03-01,0.0,-22.0,70.0,Rovaniemi
2016-03-02,0.0,-19.9,70.0,Rovaniemi
2016-03-03,0.0,-21.2,70.0,Rovaniemi
2016-03-04,0.9,-19.0,70.0,Rovaniemi
2016-03-05,0.0,-20.3,70.0,Rovaniemi
2016-03-06,0.0,-12.5,70.0,Rovaniemi
2016-03-07,2.0,-21.4,70.0,Rovaniemi
2016-03-08,0.6,-20.2,70.0,Rovaniemi
2016-03-09,0.0,-17.2,70.0,Rovaniemi
2016-03-10,1.4,-15.9,70.0,Rovaniemi
2016-03-11,0.1,-15.5,70.0,Rovaniemi
2016-03-12,0.6,-13.0,70.0,Rovaniemi
2016-03-13,0.0,-13.8,70.0,Rovaniemi
2016-03-14,0.0,-16.8,70.0,Rovaniemi
2016-03-15,0.4,-11.4,70.0,Rovaniemi
2016-03-16,0.0,-12.1,70.0,Rovaniemi
2016-03-17,0.0,-9.8,70.0,Rovaniemi
2016-03-18,1.4,-12.7,70.0,Rovaniemi
2016-03-19,0.0,-9.7,70.0,Rovaniemi
2016-03-20,0.0,-18.8,70.0,Rovaniemi
2016-03-21,0.4,-12.8,70.0,Rovaniemi
2016-03-22,1.0,-13.4,70.0,Rovaniemi
2016-03-23,1.9,-9.0,70.0,Rovaniemi
2016-03-24,0.7,-12.2,70.0,Rovaniemi
2016-03-25,0.0,-7.5,70.0,Rovaniemi
2016-03-26,0.2,-7.5,70.0,Rovaniemi
2016-03-27,1.6,-10.6,70.0,Rovaniemi
2016-03-28,1.4,-8.1,70.0,Rovaniemi
2016-03-29,0.0,-8.8,70.0,Rovaniemi
2016-03-30,1.2,-7.5,70.0,Rovaniemi
2016-03-31,2.1,-5.5,70.0,Rovaniemi
2016-04-01,0.2,-7.8,70.0,Rovaniemi
2016-04-02,0.0,-10.7,70.0,Rovaniemi
2016-04-03,3.1,-4.7,70.0,Rovaniemi
2016-04-04,1.7,-3.1,70.0,Rovaniemi
2016-04-05,0.0,-9.6,70.0,Rovaniemi
2016-04-06,2.7,-5.1,70.0,Rovaniemi
2016-04-07,0.0,-6.9,70.0,Rovaniemi
2016-04-08,0.0,-1.4,70.0,Rovaniemi
2016-04-09,0.0,-0.8,70.0,Rovaniemi
2016-04-10,1.2,-5.4,70.0,Rovaniemi
2016-04-11,0.0,-6.3,70.0,Rovaniemi
2016-04-12,0.4,-2.0,70.0,Rovaniemi
2016-04-13,1.5,-5.0,70.0,Rovaniemi
2016-04-14,0.0,0.3,70.0,Rovaniemi
2016-04-15,0.0,-1.8,70.0,Rovaniemi
2016-04-16,0.0,2.9,65.5,Rovaniemi
2016-04-17,0.0,3.4,58.5,Rovaniemi
2016-04-18,3.8,3.5,50.9,Rovaniemi
2016-04-19,1.1,1.0,50.9,Rovaniemi
2016-04-20,1.2,-2.0,51.7,Rovaniemi
2016-04-21,0.0,-3.0,51.7,Rovaniemi
2016-04-22,0.9,2.6,48.9,Rovaniemi
2016-04-23,0.1,3.1,43.5,Rovaniemi
2016-04-24,0.5,2.4,41.4,Rovaniemi
2016-04-25,0.0,-1.2,41.4,Rovaniemi
2016-04-26,0.0,0.4,41.4,Rovaniemi
2016-04-27,0.5,3.0,36.4,Rovaniemi
2016-04-28,4.3,1.6,36.4,Rovaniemi
2016-04-29,0.0,1.5,36.4,Rovaniemi
2016-04-30,0.4,1.3,36.4,Rovaniemi
2016-05-01,0.0,3.7,27.8,Rovaniemi
2016-05-02,0.4,3.8,18.6,Rovaniemi
2016-05-03,1.4,2.6,15.6,Rovaniemi
2016-05-04,0.0,5.0,0.6,Rovaniemi
2016-05-05,0.0,5.9,0.0,Rovaniemi
2016-05-06,0.0,6.4,0.0,Rovaniemi
2016-05-07,1.4,3.4,0.0,Rovaniemi
2016-05-08,0.1,5.3,0.0,Rovaniemi
2016-05-09,2.1,6.4,0.0,Rovaniemi
2016-05-10,0.0,7.0,0.0,Rovaniemi
2016-05-11,1.3,3.6,0.0,Rovaniemi
2016-05-12,1.4,6.3,0.0,Rovaniemi
2016-05-13,0.0,8.9,0.0,Rovaniemi
2016-05-14,0.0,6.2,0.0,Rovaniemi
2016-05-15,0.6,8.8,0.0,Rovaniemi
2016-05-16,0.0,8.2,0.0,Rovaniemi
2016-05-17,0.0,7.2,0.0,Rovaniemi
